Model,Accuracy,MacroF1,Regret_log10
RandomForestBal,0.8493827160493828,0.4759621858020902,0.02645305504202594
RandomForest,0.8320987654320988,0.4619591077191247,0.13527639704821778
DecisionTreeBal,0.7950617283950617,0.4518691115021689,0.03565177723985746
GradientBoosting,0.8271604938271605,0.4384976525821596,0.031228666190889726
