Model,Accuracy,MacroF1,Regret_log10
DecisionTreeBal,0.8518518518518519,0.617539662553513,0.017677044082520046
GradientBoosting,0.854320987654321,0.5326527019890864,0.012347029984756645
RandomForestBal,0.8716049382716049,0.532,0.12101186482866706
RandomForest,0.8641975308641975,0.5266781411359724,0.1245352089946965
