Target,Model,MAE,RMSE,R2
Log10BER,RandomForest,0.8398658834675953,1.8278900939736267,0.6018463524414706
Log10BER,GradientBoosting,1.0483371324825037,1.75672226433566,0.6322465537565441
Log10BER,DecisionTree,0.8928257797153958,2.1978758383158503,0.4243521992891618
Throughput,RandomForest,138271.71597942384,379477.90573232993,0.3348978028510121
Throughput,GradientBoosting,189911.35742384792,363210.8602525776,0.3906973825775377
Throughput,DecisionTree,139767.39465020577,474695.426393772,-0.040747765309435025
CQI,RandomForest,1.4229053497942385,2.265054693332152,0.7155173903104967
CQI,GradientBoosting,1.522865848854222,2.1503413845443418,0.743602867754485
CQI,DecisionTree,1.5753086419753086,2.731767091157154,0.5862045845614459
