modulation_label,waveform,strategy,BER,throughput_bps,CQI,ACS
16QAM,ODDM,fixed_oddm,0.18770282451923076,69095.8164642377,6.9326923076923075,0.19216984047900676
16QAM,ODDM,oracle,0.366927083333333,0.0,4.0,0.123176833240961
16QAM,OTFS,ai_adaptive,0.0855168269230769,69230.76923076923,9.51923076923077,0.2590786331337852
16QAM,OTFS,fixed_otfs,0.0855168269230769,69230.76923076923,9.51923076923077,0.2590786331337852
16QAM,OTFS,oracle,0.08285548139158573,69902.91262135922,9.58252427184466,0.2604401817703181
64QAM,ODDM,fixed_oddm,0.3825358072916667,0.0,4.3125,0.12590868641779263
64QAM,ODDM,oracle,0.4180555555555555,0.0,4.0,0.12106703092742326
64QAM,OTFS,ai_adaptive,0.26330837673611107,0.0,6.46875,0.1629126714975785
64QAM,OTFS,fixed_otfs,0.26330837673611107,0.0,6.46875,0.1629126714975785
64QAM,OTFS,oracle,0.24482886904761902,0.0,6.892857142857143,0.17049841013836575
QPSK,ODDM,ai_adaptive,0.030430327868852424,294506.7587000289,10.672131147540984,0.44994577554651377
QPSK,ODDM,fixed_oddm,0.03869035592415845,299995.9489766286,10.513392857142858,0.45511182064185146
QPSK,ODDM,oracle,0.03905038759689922,188004.89596083236,10.488372093023257,0.37949312438773103
QPSK,OTFS,ai_adaptive,0.048067584424841846,331550.38759689924,10.527131782945736,0.5003763808452799
QPSK,OTFS,fixed_otfs,0.045355675608066505,322566.96428571426,10.575892857142858,0.49481014845104987
QPSK,OTFS,oracle,0.043284642401021714,354592.5925925926,10.723456790123457,0.5197969566131094
