frame,scenario_id,environment,snr_db,speed_kmph,ai_waveform,oracle_waveform,decision_correct,ACS,oracle_ACS,ACS_regret,BER,oracle_BER,BER_regret,relative_BER_regret
38,A,Highway,9.8,103.1,OTFS,OTFS,1.0,0.282014043752287,0.282014043752287,0.0,0.0088541666666666,0.0067708333333333,0.0020833333333333,0.307692307692308
39,A,Highway,9.78,105.9,OTFS,ODDM,0.0,0.203765506539748,0.227153893803438,0.0233883872636897,0.0473958333333333,0.0177083333333333,0.0296875,1.67647058823529
40,A,Highway,10.03,101.6,OTFS,OTFS,1.0,0.210456676945518,0.210456676945518,0.0,0.0510416666666667,0.0411458333333333,0.0098958333333333,0.240506329113924
41,A,Highway,10.24,92.4,OTFS,ODDM,0.0,0.272155655185501,0.272803317125485,0.0006476619399841,0.0104166666666667,0.0052083333333333,0.0052083333333333,1.0
42,A,Highway,9.69,83.2,OTFS,ODDM,0.0,0.365338336296619,0.949749940543391,0.584411604246772,0.0010416666666666,0.0,0.0010416666666666,
43,A,Highway,9.29,78.9,OTFS,OTFS,1.0,0.983358321180617,0.983358321180617,0.0,0.0,0.0,0.0,
44,A,Highway,9.05,81.7,OTFS,OTFS,1.0,0.261273876486862,0.261273876486862,0.0,0.0119791666666667,0.0098958333333333,0.0020833333333333,0.210526315789474
45,A,Highway,9.01,89.4,OTFS,OTFS,1.0,0.280241976368692,0.280241976368692,0.0,0.0072916666666666,0.0072916666666666,0.0,0.0
46,A,Urban,12.15,53.4,OTFS,OTFS,1.0,0.18800175745338,0.18800175745338,0.0,0.121354166666667,0.121354166666667,0.0,0.0
47,A,Urban,12.47,54.4,OTFS,OTFS,1.0,0.186517349509618,0.186517349509618,0.0,0.107552083333333,0.107552083333333,0.0,0.0
48,A,Urban,12.95,54.6,OTFS,OTFS,1.0,0.22076108324395,0.22076108324395,0.0,0.04765625,0.04765625,0.0,0.0
49,A,Urban,13.55,53.7,OTFS,OTFS,1.0,0.197952535426739,0.197952535426739,0.0,0.113802083333333,0.113802083333333,0.0,0.0
50,A,Urban,13.48,51.4,OTFS,OTFS,1.0,0.261434125220195,0.261434125220195,0.0,0.0153645833333333,0.0153645833333333,0.0,0.0
51,A,Urban,13.23,47.6,OTFS,OTFS,1.0,0.344180086052854,0.344180086052854,0.0,0.00234375,0.00234375,0.0,0.0
52,A,Urban,13.22,42.7,OTFS,OTFS,1.0,0.156510608328816,0.156510608328816,0.0,0.270833333333333,0.270833333333333,0.0,0.0
53,A,Urban,13.51,37.1,OTFS,OTFS,1.0,0.164766935249398,0.164766935249398,0.0,0.158854166666667,0.158854166666667,0.0,0.0
54,A,Urban,14.1,31.5,OTFS,OTFS,1.0,0.198325887346815,0.198325887346815,0.0,0.0635416666666667,0.0635416666666667,0.0,0.0
55,A,Urban,14.96,26.5,OTFS,OTFS,1.0,0.181880158233967,0.181880158233967,0.0,0.15234375,0.15234375,0.0,0.0
56,A,Urban,16.01,22.7,OTFS,OTFS,1.0,0.263493206290428,0.263493206290428,0.0,0.0182291666666667,0.0182291666666667,0.0,0.0
57,A,Urban,17.13,20.4,OTFS,OTFS,1.0,0.305261685410377,0.305261685410377,0.0,0.0072916666666666,0.0072916666666666,0.0,0.0
58,A,Urban,17.95,19.5,OTFS,OTFS,1.0,0.360417997474535,0.360417997474535,0.0,0.0010416666666666,0.0010416666666666,0.0,0.0
59,A,Urban,17.71,19.8,OTFS,OTFS,1.0,0.381982867026471,0.381982867026471,0.0,0.0002604166666666,0.0002604166666666,0.0,0.0
60,A,Urban,17.31,20.7,OTFS,OTFS,1.0,0.3880781667407,0.3880781667407,0.0,0.0002604166666666,0.0002604166666666,0.0,0.0
1,B,HighSpeedRail,5.48,211.5,OTFS,ODDM,0.0,0.183926097510968,0.18750858421485,0.0035824867038824,0.0729166666666667,0.0609375,0.0119791666666667,0.196581196581197
2,B,HighSpeedRail,5.81,220.0,OTFS,ODDM,0.0,0.184596321769144,0.186985766520975,0.0023894447518315,0.0875,0.04375,0.04375,1.0
3,B,HighSpeedRail,6.49,227.6,OTFS,OTFS,1.0,0.160026008376002,0.160026008376002,0.0,0.1765625,0.13125,0.0453125,0.345238095238095
4,B,HighSpeedRail,7.48,233.1,OTFS,OTFS,1.0,0.200930503668518,0.200930503668518,0.0,0.0473958333333333,0.0473958333333333,0.0,0.0
5,B,HighSpeedRail,8.69,236.0,OTFS,OTFS,1.0,0.208937891917096,0.208937891917096,0.0,0.0541666666666667,0.0541666666666667,0.0,0.0
6,B,HighSpeedRail,9.98,235.8,OTFS,ODDM,0.0,0.305002715353409,0.952909540316712,0.647906824963303,0.0036458333333333,0.0,0.0036458333333333,
7,B,HighSpeedRail,10.99,232.4,OTFS,OTFS,1.0,0.974050848376822,0.974050848376822,0.0,0.0,0.0,0.0,
8,B,HighSpeedRail,10.95,225.9,OTFS,OTFS,1.0,0.257360060680556,0.257360060680556,0.0,0.0161458333333333,0.0161458333333333,0.0,0.0
9,B,HighSpeedRail,10.71,216.9,OTFS,ODDM,0.0,0.246169544075099,0.263033365224637,0.0168638211495382,0.01875,0.0067708333333333,0.0119791666666667,1.76923076923077
10,B,HighSpeedRail,10.31,206.2,OTFS,ODDM,0.0,0.305991401531853,0.334935903008685,0.0289445014768329,0.0036458333333333,0.0010416666666666,0.0026041666666666,2.5
11,B,HighSpeedRail,9.76,194.7,OTFS,OTFS,1.0,0.177082660242514,0.177082660242514,0.0,0.0729166666666667,0.0729166666666667,0.0,0.0
12,B,HighSpeedRail,9.1,183.4,OTFS,OTFS,1.0,0.203244059777577,0.203244059777577,0.0,0.0380208333333333,0.0375,0.0005208333333333,0.0138888888888888
13,B,HighSpeedRail,8.38,173.5,OTFS,OTFS,1.0,0.153504745486089,0.153504745486089,0.0,0.102604166666667,0.0760416666666667,0.0265625,0.349315068493151
14,B,HighSpeedRail,7.62,165.7,OTFS,OTFS,1.0,0.120506956862096,0.120506956862096,0.0,0.201041666666667,0.158854166666667,0.0421875,0.265573770491803
15,B,HighSpeedRail,6.9,160.6,OTFS,OTFS,1.0,0.140867926478411,0.140867926478411,0.0,0.0947916666666667,0.0723958333333333,0.0223958333333333,0.309352517985611
16,B,HighSpeedRail,5.46,158.8,OTFS,OTFS,1.0,0.112651033310687,0.112651033310687,0.0,0.227604166666667,0.188541666666667,0.0390625,0.207182320441989
17,B,HighSpeedRail,3.92,160.2,OTFS,OTFS,1.0,0.147192771985958,0.147192771985958,0.0,0.132291666666667,0.1046875,0.0276041666666667,0.263681592039801
18,B,HighSpeedRail,2.76,164.5,OTFS,OTFS,1.0,0.107928626892388,0.107928626892388,0.0,0.209895833333333,0.178645833333333,0.03125,0.174927113702624
19,B,HighSpeedRail,2.11,171.2,OTFS,OTFS,1.0,0.153752066030987,0.153752066030987,0.0,0.107291666666667,0.107291666666667,0.0,0.0
20,B,HighSpeedRail,2.05,179.3,OTFS,OTFS,1.0,0.185522798274132,0.185522798274132,0.0,0.04375,0.0328125,0.0109375,0.333333333333333
21,B,HighSpeedRail,2.57,188.0,OTFS,OTFS,1.0,0.132674485269319,0.132674485269319,0.0,0.228125,0.178645833333333,0.0494791666666667,0.276967930029154
22,B,HighSpeedRail,3.62,196.2,OTFS,OTFS,1.0,0.10077188417633,0.10077188417633,0.0,0.232291666666667,0.156770833333333,0.0755208333333333,0.481727574750831
23,B,HighSpeedRail,5.08,202.8,OTFS,OTFS,1.0,0.163736012510537,0.163736012510537,0.0,0.0833333333333333,0.0697916666666667,0.0135416666666667,0.194029850746269
24,B,HighSpeedRail,6.55,207.1,OTFS,OTFS,1.0,0.134344415774329,0.134344415774329,0.0,0.184895833333333,0.1125,0.0723958333333333,0.643518518518519
25,B,HighSpeedRail,7.25,208.5,OTFS,OTFS,1.0,0.234051137362879,0.234051137362879,0.0,0.0140625,0.0140625,0.0,0.0
26,B,HighSpeedRail,8.0,206.7,OTFS,OTFS,1.0,0.251417476044918,0.251417476044918,0.0,0.0104166666666667,0.0046875,0.0057291666666666,1.22222222222222
27,B,HighSpeedRail,8.75,201.7,OTFS,OTFS,1.0,0.254565108636183,0.254565108636183,0.0,0.0067708333333333,0.0067708333333333,0.0,0.0
28,B,HighSpeedRail,9.45,193.8,OTFS,OTFS,1.0,0.195192908263243,0.195192908263243,0.0,0.0234375,0.0234375,0.0,0.0
29,B,HighSpeedRail,10.05,183.9,OTFS,OTFS,1.0,0.131758182278234,0.131758182278234,0.0,0.0953125,0.0854166666666667,0.0098958333333333,0.115853658536585
