environment,strategy,BER,throughput_bps,CQI,ACS,switch_count,oracle_agreement
HighSpeedRail,ai_adaptive,0.11427738927738929,31468.53146853147,6.6223776223776225,0.21221661443266018,0,0.8251748251748252
HighSpeedRail,fixed_oddm,0.10574434246309247,6281.437860385231,6.888111888111888,0.17672321022003804,0,
HighSpeedRail,fixed_otfs,0.11427738927738929,31468.53146853147,6.6223776223776225,0.21221661443266018,0,
HighSpeedRail,oracle,0.10809173465423468,37749.9693289167,6.9020979020979025,0.21851993430938063,0,
Highway,ai_adaptive,0.06618489583333331,135000.0,9.533333333333333,0.34524825835068,1,0.8833333333333333
Highway,fixed_oddm,0.08326244212962965,119766.08187134507,9.116666666666667,0.30772019462430095,0,
Highway,fixed_otfs,0.06618489583333331,135000.0,9.533333333333333,0.34524825835068,0,
Highway,oracle,0.06319878472222222,149970.76023391815,9.7,0.3562206567807863,0,
Pedestrian,ai_adaptive,0.013292214912280694,672631.5789473684,13.56842105263158,0.78528951076538,0,0.9473684210526315
Pedestrian,fixed_oddm,0.01990131578947368,690230.8402585414,13.452631578947368,0.7733606398702517,0,
Pedestrian,fixed_otfs,0.013292214912280694,672631.5789473684,13.56842105263158,0.78528951076538,0,
Pedestrian,oracle,0.013237390350877187,691542.0129270545,13.610526315789473,0.7982347733682718,0,
Urban,ai_adaptive,0.061535199321458844,250629.43618588458,10.622137404580153,0.4258415386568913,21,0.7557251908396947
Urban,fixed_oddm,0.10279798823155213,222847.19432168215,9.34732824427481,0.36915884308260255,0,
Urban,fixed_otfs,0.061004426420695486,243893.12977099235,10.67175572519084,0.4280651829721954,0,
Urban,oracle,0.061263517811704804,257600.1071380742,10.69083969465649,0.4373051161965876,0,
UrbanFast,ai_adaptive,0.0033450071839080334,471250.0,13.791666666666666,0.6672865422320419,0,1.0
UrbanFast,fixed_oddm,0.006443067528735617,397585.199610516,12.916666666666666,0.582555358687344,0,
UrbanFast,fixed_otfs,0.0033450071839080334,471250.0,13.791666666666666,0.6672865422320419,0,
UrbanFast,oracle,0.0033450071839080334,471250.0,13.791666666666666,0.6672865422320419,0,
