frame,timestamp,t_sim_s,scenario_id,environment,speed_kmph,snr_db,doppler_hz,carrier_frequency_hz,bandwidth_hz,channel_profile,delay_spread_taps,num_paths,modulation,doppler_scale,detector,waveform,strategy,mode,policy,scenario_seed,payload_seed,channel_seed,noise_seed,payload_sum,chan_checksum,frequency_offset_hz,phase_offset_rad,timing_offset_samples,predicted_waveform,confidence,confidence_band,predicted_OTFS_BER,predicted_ODDM_BER,predicted_OTFS_ACS,predicted_ODDM_ACS,predicted_OTFS_throughput,predicted_ODDM_throughput,predicted_OTFS_CQI,predicted_ODDM_CQI,uncertainty_ACS_OTFS,uncertainty_ACS_ODDM,selected_waveform,previous_waveform,switched,switch_reason,ai_error,fallback_used,fallback_reason,BER,SER,PER,throughput_bps,spectral_efficiency,CQI,wall_clock_ms,detector_time_ms,latency_ms_modeled,packet_loss,recovery_rate,ACS,tp_cap_bps,se_cap,actual_BER_OTFS,actual_ACS_OTFS,actual_BER_ODDM,actual_ACS_ODDM,actual_TP_OTFS,actual_TP_ODDM,oracle_waveform,oracle_BER,oracle_ACS,ACS_regret,BER_regret,relative_BER_regret,decision_correct,error_flag,error_message,master_seed,policy_version,experiment_id,modulation_label
11,2026-08-25 16:02:55,10,A,Urban,14.9,16.76,55.2233890939163,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260834,202608241,100011,990,1.41379355333706,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0182291666666667,0.0364583333333333,1,0.0,0.0,9,44.2817,40.0378,,1,0,0.24432565210682,900000.0,2,0.0182291666666667,0.24432565210682,0.0234375,0.210162934067888,0,0.0,OTFS,0.0182291666666667,0.24432565210682,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
12,2026-08-25 16:02:58,11,A,Urban,12.1,16.1,44.8458394655293,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260835,202608242,100012,948,2.60307548755954,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0,0.0,0,900000.0,1.875,15,36.3741,31.8843,,0,1,0.979013689676581,900000.0,2,0.0,0.979013689676581,0.0,0.956586025713417,900000,898245.614035088,OTFS,0.0,0.979013689676581,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
13,2026-08-25 16:03:01,12,A,Urban,10.0,15.38,37.0626772442391,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260836,202608243,100013,932,2.05053275459047,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0010416666666666,0.0020833333333333,1,0.0,0.0,15,41.5107,35.1227,,1,0,0.358155518559951,900000.0,2,0.0010416666666666,0.358155518559951,0.0020833333333333,0.308778750029991,0,0.0,OTFS,0.0010416666666666,0.358155518559951,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
14,2026-08-25 16:03:05,13,A,Urban,10.0,14.62,37.0626772442391,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260837,202608244,100014,924,1.37871432003237,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0098958333333333,0.01875,1,0.0,0.0,10,58.3059,52.3855,,1,0,0.260479499350868,900000.0,2,0.0098958333333333,0.260479499350868,0.0229166666666667,0.224317647976432,0,0.0,OTFS,0.0098958333333333,0.260479499350868,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
15,2026-08-25 16:03:08,14,A,Urban,10.0,13.9,37.0626772442391,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260838,202608245,100015,975,2.37243345604937,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0,0.0,0,900000.0,1.875,15,36.7495,31.3986,,0,1,0.979221004176704,900000.0,2,0.0,0.979221004176704,0.0,0.960036351991687,900000,898245.614035088,OTFS,0.0,0.979221004176704,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
16,2026-08-25 16:03:11,15,A,Urban,10.0,12.46,37.0626772442391,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260839,202608246,100016,957,2.31545356681108,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0005208333333333,0.0010416666666666,1,0.0,0.0,15,38.0923,30.4999,,1,0,0.372660150186243,900000.0,2,0.0005208333333333,0.372660150186243,0.0,0.959540787070665,0,898245.614035088,ODDM,0.0,0.959540787070665,0.586880636884422,0.0005208333333333,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
17,2026-08-25 16:03:15,16,A,Urban,10.0,10.92,37.0626772442391,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260840,202608247,100017,954,2.64041262839379,0,0,0,,,,,,,,,,,,,,,ODDM,0,,,0,,0.0046875,0.009375,1,0.0,0.0,12,28.0901,23.563,,1,0,0.305930160961986,900000.0,2,0.0046875,0.305930160961986,0.00625,0.266711214119824,0,0.0,OTFS,0.0046875,0.305930160961986,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
18,2026-08-25 16:03:18,17,A,Urban,10.0,9.76,37.0626772442391,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260841,202608248,100018,969,2.16313742978128,0,0,0,,,,,,,,,,,,,,,ODDM,0,,,0,,0.0026041666666666,0.0052083333333333,1,0.0,0.0,13,33.721,28.8663,,1,0,0.324240543066245,900000.0,2,0.0026041666666666,0.324240543066245,0.0057291666666666,0.279826477977323,0,0.0,OTFS,0.0026041666666666,0.324240543066245,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
19,2026-08-25 16:03:21,18,A,Urban,10.0,9.11,37.0626772442391,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260842,202608249,100019,943,2.31436433230711,0,0,0,,,,,,,,,,,,,,,ODDM,0,,,0,,0.0010416666666666,0.0020833333333333,1,0.0,0.0,15,32.3651,27.3032,,1,0,0.361500537563665,900000.0,2,0.0010416666666666,0.361500537563665,0.0010416666666666,0.339405007045208,0,0.0,OTFS,0.0010416666666666,0.361500537563665,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
20,2026-08-25 16:03:25,19,A,Urban,11.5,9.05,42.622078830875,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260843,202608250,100020,966,3.19301398918425,0,0,0,,,,,,,,,,,,,,,ODDM,0,,,0,,0.0,0.0,0,900000.0,1.875,15,44.5556,38.0542,,0,1,0.976423505838167,900000.0,2,0.0,0.976423505838167,0.0,0.961081670199167,900000,898245.614035088,OTFS,0.0,0.976423505838167,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
