scenario_id,strategy,BER,throughput_bps,CQI,ACS,switch_count,oracle_agreement
A,ai_adaptive,0.032005208333333306,254883.04093567253,11.5,0.4624331340840219,4,0.7666666666666667
A,fixed_oddm,0.05243489583333332,239532.16374269014,10.683333333333334,0.418032204915693,0,
A,fixed_otfs,0.03184895833333331,240000.0,11.566666666666666,0.45670817385504503,0,
A,oracle,0.028914930555555544,269941.52046783624,11.683333333333334,0.47680057959835026,0,
B,ai_adaptive,0.08201388888888891,15000.0,7.366666666666666,0.1979313339108863,0,0.8666666666666667
B,fixed_oddm,0.08268663194444444,14970.760233918134,7.366666666666666,0.16581194672920135,0,
B,fixed_otfs,0.08201388888888891,15000.0,7.366666666666666,0.1979313339108863,0,
B,oracle,0.07634548611111112,29970.760233918136,7.65,0.21056403193913148,0,
C,ai_adaptive,0.02292534722222221,555000.0,13.45,0.6997854369626582,0,0.9333333333333333
C,fixed_oddm,0.050690104166666666,568888.8888888892,12.5,0.6713040265495589,0,
C,fixed_otfs,0.02292534722222221,555000.0,13.45,0.6997854369626582,0,
C,oracle,0.022855902777777767,569970.7602339181,13.516666666666667,0.7102626912314227,0,
D,ai_adaptive,0.09198784722222222,389736.8421052632,11.033333333333333,0.5307628488672411,6,0.7666666666666667
D,fixed_oddm,0.13397569444444446,389239.7660818715,10.15,0.5024295031276675,0,
D,fixed_otfs,0.09174479166666667,375000.0,11.066666666666666,0.5258904737303882,0,
D,oracle,0.09170717592592591,404941.5204678363,11.116666666666667,0.545865863697092,0,
E,ai_adaptive,0.029144965277777754,299780.701754386,10.708333333333334,0.43011222996197573,5,0.4583333333333333
E,fixed_oddm,0.02901475694444443,261988.30409356733,10.708333333333334,0.3909929196319604,0,
E,fixed_otfs,0.027300347222222198,300000.0,10.833333333333334,0.45368988575801933,0,
E,oracle,0.027235243055555535,337353.8011695907,10.875,0.47887570368893534,0,
F,ai_adaptive,0.031492456896551675,290000.0,12.041666666666666,0.49797518138162905,0,1.0
F,fixed_oddm,0.08047099497126434,253008.7633885102,10.625,0.4318624428443576,0,
F,fixed_otfs,0.031492456896551675,290000.0,12.041666666666666,0.49797518138162905,0,
F,oracle,0.031492456896551675,290000.0,12.041666666666666,0.49797518138162905,0,
G,ai_adaptive,0.10531684027777781,75000.0,6.625,0.25202686964597754,0,0.6666666666666666
G,fixed_oddm,0.08187934027777775,0.0,7.125,0.19292142924904246,0,
G,fixed_otfs,0.10531684027777781,75000.0,6.625,0.25202686964597754,0,
G,oracle,0.09487847222222222,75000.0,7.083333333333333,0.2559226954988691,0,
H,ai_adaptive,0.06795138888888891,180000.0,8.533333333333333,0.3648641067744601,0,1.0
H,fixed_oddm,0.06123263888888887,179649.1228070176,8.566666666666666,0.34363805658836666,0,
H,fixed_otfs,0.06795138888888891,180000.0,8.533333333333333,0.3648641067744601,0,
H,oracle,0.06795138888888891,180000.0,8.533333333333333,0.3648641067744601,0,
I,ai_adaptive,0.08301866319444444,0.0,9.125,0.22785183696054126,0,1.0
I,fixed_oddm,0.20044487847222217,0.0,6.5,0.1630841292726695,0,
I,fixed_otfs,0.08301866319444444,0.0,9.125,0.22785183696054126,0,
I,oracle,0.08301866319444444,0.0,9.125,0.22785183696054126,0,
J,ai_adaptive,0.03626302083333329,224853.80116959068,10.208333333333334,0.41065527544338143,3,0.3333333333333333
J,fixed_oddm,0.03637152777777774,224561.403508772,10.208333333333334,0.40402457457053514,0,
J,fixed_otfs,0.03344184027777778,225000.0,10.375,0.42903649646102315,0,
J,oracle,0.03337673611111111,225000.0,10.458333333333334,0.42969259772620694,0,
K,ai_adaptive,0.14483506944444446,37500.0,6.125,0.21159607645858,0,0.9166666666666666
