strategy,mean_BER,median_BER,p90_BER,mean_throughput,median_throughput,p90_throughput,mean_CQI,mean_spectral_efficiency,mean_ACS,p90_ACS,mean_detector_time_ms,switch_count,oracle_agreement,mean_ACS_regret,p90_ACS_regret
fixed_otfs,0.0644502752191256,0.017447916666666653,0.20682291666666708,259777.39726027398,0.0,900000.0,10.162671232876713,0.5412029109589042,0.4346444004107988,0.9810168431260763,51.7582926369863,0,,,
fixed_oddm,0.08406766958451424,0.0265625,0.28093749999999995,242438.6131058396,0.0,898245.614035088,9.53595890410959,0.5050804439704999,0.39024800860057457,0.9594018850453092,123.94417517123287,0,,,
ai_adaptive,0.06468839593830367,0.017838541666666652,0.20479166666666715,262799.50732996874,0.0,900000.0,10.14041095890411,0.5474989736041016,0.43364680655701515,0.9808627578777298,62.29776849315069,22,0.827054794520548,0.009919479299405048,0.018684453782561356
oracle,0.06273616277620321,0.015625,0.20213541666666707,272079.1276135545,0.0,900000.0,10.263698630136986,0.5668315158615718,0.4435662858564202,0.9810168431260763,55.48466746575342,0,,,
