speed_kmph_rounded,doppler_hz,strategy,waveform,BER,throughput_bps,CQI,ACS
0.0,4.2622078830875,oracle,OTFS,0.0,900000.0,15.0,0.989266899121893
0.0,4.81814804175109,ai_adaptive,OTFS,0.0010416666666666,0.0,15.0,0.362469788651403
0.0,4.81814804175109,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.963634479800255
0.0,4.81814804175109,fixed_otfs,OTFS,0.0010416666666666,0.0,15.0,0.362469788651403
0.0,4.81814804175109,oracle,ODDM,0.0,898245.614035088,15.0,0.963634479800255
0.0,5.00346142797228,ai_adaptive,OTFS,0.0,900000.0,15.0,0.980780113068289
0.0,5.00346142797228,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.961099057400498
0.0,5.00346142797228,fixed_otfs,OTFS,0.0,900000.0,15.0,0.980780113068289
0.0,5.00346142797228,oracle,OTFS,0.0,900000.0,15.0,0.980780113068289
0.0,5.18877481419348,ai_adaptive,OTFS,0.00078125,450000.0,14.5,0.6623075187260005
0.0,5.18877481419348,fixed_oddm,ODDM,0.00026041666666665,449122.807017544,15.0,0.654598987628708
0.0,5.18877481419348,fixed_otfs,OTFS,0.00078125,450000.0,14.5,0.6623075187260005
0.0,5.18877481419348,oracle,ODDM,0.0005208333333333,0.0,15.0,0.353675638860044
0.0,5.18877481419348,oracle,OTFS,0.0,900000.0,15.0,0.980424020094133
0.0,5.37408820041467,ai_adaptive,OTFS,0.0,900000.0,15.0,0.98163003981775
0.0,5.37408820041467,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.9607820147597614
0.0,5.37408820041467,fixed_otfs,OTFS,0.0,900000.0,15.0,0.98163003981775
0.0,5.37408820041467,oracle,OTFS,0.0,900000.0,15.0,0.98163003981775
0.0,5.55940158663587,ai_adaptive,OTFS,0.00850694444444445,750000.0,13.666666666666666,0.8494768944073009
0.0,5.55940158663587,fixed_oddm,ODDM,0.009027777777777784,748538.0116959066,13.666666666666666,0.831083469180604
0.0,5.55940158663587,fixed_otfs,OTFS,0.00850694444444445,750000.0,13.666666666666666,0.8494768944073009
0.0,5.55940158663587,oracle,OTFS,0.00850694444444445,750000.0,13.666666666666666,0.8494768944073009
0.0,5.74471497285706,ai_adaptive,OTFS,0.0,900000.0,15.0,0.9851287744091495
0.0,5.74471497285706,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.965015692702176
