frame,scenario_id,environment,snr_db,speed_kmph,predicted_OTFS_BER,actual_BER_OTFS,predicted_ODDM_BER,actual_BER_ODDM,predicted_OTFS_throughput,actual_TP_OTFS,predicted_ODDM_throughput,actual_TP_ODDM,predicted_OTFS_CQI,CQI_OTFS_from_trace,predicted_OTFS_ACS,actual_ACS_OTFS,predicted_ODDM_ACS,actual_ACS_ODDM
27,A,Highway,12.75,90.8,0.0013203734171181,0.0010416666666666,0.0009678507842818,0.0015625,603735.204450594,0,507378.649940876,0.0,13.2844444444444,15,0.671270419409611,0.366732680891252,0.616589954255022,0.313175608126984
28,A,Highway,13.45,93.5,0.0013203734171181,0.0057291666666666,0.0009678507842818,0.0125,603735.204450594,0,502217.357658997,0.0,13.2888888888889,12,0.67226103676767,0.300063953828474,0.615443930566442,0.239195247258817
29,A,Highway,14.05,101.3,0.0008711377510194,0.0328125,0.0008863819417465,0.0291666666666667,607564.839584626,0,515196.589168475,0.0,13.3122222222222,8,0.675394006347358,0.222012823812773,0.622922282077125,0.206801565342489
30,A,Highway,14.53,109.0,0.0013270971886565,0.0072916666666666,0.0010322474330465,0.0046875,614185.680771224,0,567711.783976873,0.0,13.2533333333333,11,0.670609809543005,0.278262260035973,0.647640096181935,0.281393067748892
31,A,Highway,14.85,111.8,0.0013266270325574,0.0,0.0010270851179558,0.0,614185.680771224,900000,566747.941068727,898245.614035088,13.2533333333333,15,0.670576485008735,0.976910226444845,0.646251448518855,0.957222875887149
32,A,Highway,14.99,107.5,0.0013306111234799,0.0046875,0.0010172220050978,0.0119791666666667,614185.680771224,0,567711.783976873,0.0,13.2533333333333,12,0.670502759328568,0.302387135094372,0.648262939935292,0.243093691262874
33,A,Highway,14.17,98.3,0.0013460720799943,0.0,0.0010246430572806,0.0005208333333333,614285.680771224,900000,563753.789021943,0.0,13.2544444444444,15,0.670228564283132,0.978060775997322,0.647169256470321,0.3439851898791
34,A,Highway,12.95,89.1,0.0013203734171181,0.0,0.0009678507842818,0.0,603735.204450594,900000,507378.649940876,898245.614035088,13.2888888888889,15,0.671270419409611,0.985422843098788,0.616589954255022,0.950152294102773
35,A,Highway,11.79,84.8,0.0359345234981924,0.194270833333333,0.0161929217562594,0.1046875,51119.6881091618,0,33901.4647405054,0.0,10.4644444444444,4,0.287123934035524,0.149716555242709,0.277187374006456,0.153073346756239
36,A,Highway,10.82,87.6,0.0352431737892935,0.0010416666666666,0.0162435694942628,0.0036458333333333,59886.3547758285,0,33901.4647405054,0.0,10.5877777777778,15,0.291545002357323,0.362674714118942,0.276884469335508,0.285705154363866
37,A,Highway,10.15,95.4,0.0352431737892935,0.119791666666667,0.0162435694942628,0.107291666666667,59886.3547758285,0,33901.4647405054,0.0,10.5877777777778,5,0.291545002357323,0.172931612007741,0.276884469335508,0.14794559008488
38,A,Highway,9.8,103.1,0.0351799537753901,0.0088541666666666,0.0159762378397604,0.0067708333333333,39753.0214424951,0,29909.2620114606,0.0,10.5788888888889,11,0.280743850698566,0.282014043752287,0.274678304115675,0.262434710352169
39,A,Highway,9.78,105.9,0.0355868941090686,0.0473958333333333,0.0162161175689901,0.0177083333333333,55117.738791423,0,34899.5154227666,0.0,10.4666666666667,7,0.287183560066303,0.203765506539748,0.277871121245463,0.227153893803438
40,A,Highway,10.03,101.6,0.0352042533867221,0.0510416666666667,0.0162435694942628,0.0411458333333333,61886.3547758285,0,33901.4647405054,0.0,10.5877777777778,7,0.291545002357323,0.210456676945518,0.276884469335508,0.186951972964866
41,A,Highway,10.24,92.4,0.0352431737892935,0.0104166666666667,0.0162435694942628,0.0052083333333333,59886.3547758285,0,33901.4647405054,0.0,10.5877777777778,10,0.291545002357323,0.272155655185501,0.276884469335508,0.272803317125485
42,A,Highway,9.69,83.2,0.0361170327925943,0.0010416666666666,0.0162358421631866,0.0,44351.0721247563,0,34899.5154227666,898245.614035088,10.3822222222222,15,0.283774809384852,0.365338336296619,0.278506824188756,0.949749940543391
43,A,Highway,9.29,78.9,0.0371491376618519,0.0,0.0176605188996602,0.0,79168.8109161793,900000,72761.7988767223,898245.614035088,10.9066666666667,15,0.323497900765173,0.983358321180617,0.320295178549157,0.956698046501503
44,A,Highway,9.05,81.7,0.0361170327925943,0.0119791666666667,0.0162221147767749,0.0098958333333333,46286.3547758285,0,33901.4647405054,0.0,10.3822222222222,10,0.284550002694428,0.261273876486862,0.277079057653751,0.247992217395071
45,A,Highway,9.01,89.4,0.0352431737892935,0.0072916666666666,0.0162435694942628,0.0104166666666667,59886.3547758285,0,33901.4647405054,0.0,10.5877777777778,11,0.291545002357323,0.280241976368692,0.276884469335508,0.248072829679469
46,A,Urban,12.15,53.4,0.129376797254301,0.121354166666667,0.219208410388934,0.294791666666667,1000.0,0,0.0,0.0,7.88111111111111,7,0.207175155548603,0.18800175745338,0.155686571523078,0.139591896430392
47,A,Urban,12.47,54.4,0.128999229035987,0.107552083333333,0.219208410388934,0.252604166666667,1000.0,0,0.0,0.0,7.87111111111111,7,0.207156761795423,0.186517349509618,0.155637374648826,0.13934376572597
48,A,Urban,12.95,54.6,0.0475124591175533,0.04765625,0.102564931967235,0.187239583333333,317598.050682261,0,45163.9651438452,0.0,11.13,9,0.373946837865548,0.22076108324395,0.228922053050531,0.155715451189333
49,A,Urban,13.55,53.7,0.0475124591175533,0.113802083333333,0.102564931967235,0.24921875,317598.050682261,0,45163.9651438452,0.0,11.13,7,0.373946837865548,0.197952535426739,0.228922053050531,0.142773519521707
50,A,Urban,13.48,51.4,0.0475124591175534,0.0153645833333333,0.102564931967235,0.129427083333333,317598.050682261,0,45163.9651438452,0.0,11.13,11,0.373946837865548,0.261434125220195,0.228922053050531,0.174084770862307
51,A,Urban,13.23,47.6,0.0473301370137475,0.00234375,0.102564931967235,0.0322916666666667,317598.050682261,0,45163.9651438452,0.0,11.13,15,0.373946837865548,0.344180086052854,0.228922053050531,0.220068021398021
52,A,Urban,13.22,42.7,0.0473301370137475,0.270833333333333,0.102564931967235,0.36875,317598.050682261,0,45163.9651438452,0.0,11.13,5,0.373946837865548,0.156510608328816,0.228922053050531,0.125085708150862
53,A,Urban,13.51,37.1,0.0537883057767886,0.158854166666667,0.0962131443880103,0.267708333333333,514439.5766545,0,115077.248026482,0.0,11.5033333333333,6,0.413391931463622,0.164766935249398,0.241870571626388,0.132692410507958
54,A,Urban,14.1,31.5,0.0537883057767886,0.0635416666666667,0.0962131443880103,0.208072916666667,514439.5766545,0,115077.248026482,0.0,11.5033333333333,8,0.413391931463622,0.198325887346815,0.241870571626388,0.15466942715031
55,A,Urban,14.96,26.5,0.0534494934233632,0.15234375,0.095220780534493,0.26171875,514439.5766545,0,115077.248026482,0.0,11.5211111111111,7,0.413893777827318,0.181880158233967,0.241870571626388,0.138339982247714
56,A,Urban,16.01,22.7,0.0534494934233632,0.0182291666666667,0.095220780534493,0.120052083333333,514439.5766545,0,115077.248026482,0.0,11.5211111111111,11,0.413893777827318,0.263493206290428,0.241870571626388,0.173300954305166
57,A,Urban,17.13,20.4,0.0534494934233632,0.0072916666666666,0.095220780534493,0.07421875,514439.5766545,0,115077.248026482,0.0,11.5211111111111,13,0.413893777827318,0.305261685410377,0.241870571626388,0.189333514591456
58,A,Urban,17.95,19.5,0.0019137057552476,0.0010416666666666,0.0131587872304127,0.0174479166666667,1246720.12200793,0,1157901.29391422,0.0,12.6466666666667,15,0.636582893306475,0.360417997474535,0.587826470546055,0.241213675472235
59,A,Urban,17.71,19.8,0.0199832587714523,0.0002604166666666,0.0461710647427336,0.0057291666666666,1217789.48469302,0,1151410.62539503,0.0,12.6466666666667,15,0.608666368934223,0.381982867026471,0.552695227390069,0.28581294400335
60,A,Urban,17.31,20.7,0.0534494934233632,0.0002604166666666,0.095220780534493,0.00703125,514439.5766545,0,115077.248026482,0.0,11.5211111111111,15,0.413893777827318,0.3880781667407,0.241870571626388,0.275574693730394
1,B,HighSpeedRail,5.48,211.5,0.116015264023397,0.0729166666666667,0.0718769044928024,0.0609375,0.0,0,0.0,0.0,5.55666666666667,6,0.186812465046837,0.183926097510968,0.181565685194028,0.18750858421485
2,B,HighSpeedRail,5.81,220.0,0.116015264023397,0.0875,0.0718769044928024,0.04375,0.0,0,0.0,0.0,5.55666666666667,6,0.186812465046837,0.184596321769144,0.181565685194028,0.186985766520975
3,B,HighSpeedRail,6.49,227.6,0.115349853256272,0.1765625,0.0717852936542416,0.13125,0.0,0,0.0,0.0,5.56333333333334,4,0.186952985350039,0.160026008376002,0.181679967202261,0.151610051122191
4,B,HighSpeedRail,7.48,233.1,0.115349853256272,0.0473958333333333,0.0717852936542415,0.0557291666666667,0.0,0,0.0,0.0,5.56333333333334,7,0.186952985350039,0.200930503668518,0.181679967202261,0.186533962413474
5,B,HighSpeedRail,8.69,236.0,0.0319129009491968,0.0541666666666667,0.0146320648179593,0.0734375,153900.0,0,26000.0,0.0,10.3511111111111,7,0.343828912897201,0.208937891917096,0.264758957099573,0.167850742611738
6,B,HighSpeedRail,9.98,235.8,0.0319129009491968,0.0036458333333333,0.0146320648179593,0.0,153900.0,0,26000.0,898245.614035088,10.3511111111111,12,0.343828912897201,0.305002715353409,0.264758957099573,0.952909540316712
7,B,HighSpeedRail,10.99,232.4,0.0319129009491968,0.0,0.0146320648179593,0.0041666666666666,153900.0,900000,26000.0,0.0,10.3511111111111,15,0.343828912897201,0.974050848376822,0.264758957099573,0.282950846078781
8,B,HighSpeedRail,10.95,225.9,0.0319129009491968,0.0161458333333333,0.0146320648179593,0.025,153900.0,0,26000.0,0.0,10.3511111111111,10,0.343828912897201,0.257360060680556,0.264758957099573,0.213013976531973
9,B,HighSpeedRail,10.71,216.9,0.0319660447287724,0.01875,0.0146320648179593,0.0067708333333333,150900.0,0,26000.0,0.0,10.3511111111111,9,0.341994644673874,0.246169544075099,0.264692258827805,0.263033365224637
10,B,HighSpeedRail,10.31,206.2,0.0319660447287724,0.0036458333333333,0.0146320648179593,0.0010416666666666,150900.0,0,26000.0,0.0,10.3511111111111,12,0.341994644673874,0.305991401531853,0.264692258827805,0.334935903008685
11,B,HighSpeedRail,9.76,194.7,0.0320367645390459,0.0729166666666667,0.0146482414386338,0.0765625,149900.0,0,26000.0,0.0,10.3511111111111,6,0.340898301242098,0.177082660242514,0.264666269612664,0.172802928359704
12,B,HighSpeedRail,9.1,183.4,0.032036764539046,0.0380208333333333,0.0146482414386338,0.0375,149900.0,0,26000.0,0.0,10.3511111111111,8,0.340898301242098,0.203244059777577,0.264666269612664,0.157603239257766
13,B,HighSpeedRail,8.38,173.5,0.0325353934320596,0.102604166666667,0.0146572985704654,0.0760416666666667,144900.0,0,27996.1013645224,0.0,10.1577777777778,5,0.333547471051641,0.153504745486089,0.264082689986401,0.122845365393847
14,B,HighSpeedRail,7.62,165.7,0.0325353934320596,0.201041666666667,0.0146572985704654,0.158854166666667,144900.0,0,27996.1013645224,0.0,10.1577777777778,4,0.333547471051641,0.120506956862096,0.264082689986401,0.0867782650279241
15,B,HighSpeedRail,6.9,160.6,0.116024648489115,0.0947916666666667,0.0717270549631761,0.0723958333333333,0.0,0,0.0,0.0,5.56,5,0.186837428130109,0.140867926478411,0.181630545762428,0.122472281795847
16,B,HighSpeedRail,5.46,158.8,0.116024648489115,0.227604166666667,0.0717270549631762,0.188541666666667,0.0,0,0.0,0.0,5.56,4,0.186837428130109,0.112651033310687,0.181630545762428,0.0886801892787035
17,B,HighSpeedRail,3.92,160.2,0.116024648489116,0.132291666666667,0.0717270549631761,0.1046875,0.0,0,0.0,0.0,5.56,5,0.186837428130109,0.147192771985958,0.181630545762428,0.11126619915375
18,B,HighSpeedRail,2.76,164.5,0.116024648489115,0.209895833333333,0.0717270549631762,0.178645833333333,0.0,0,0.0,0.0,5.56,4,0.186837428130109,0.107928626892388,0.181630545762428,0.0908295005657846
19,B,HighSpeedRail,2.11,171.2,0.253740339343441,0.107291666666667,0.198077410130053,0.1125,0.0,0,0.0,0.0,3.52333333333333,5,0.152550565066091,0.153752066030987,0.141730693904966,0.10931734623605
20,B,HighSpeedRail,2.05,179.3,0.254057929186951,0.04375,0.198896983456365,0.0328125,0.0,0,0.0,0.0,3.52111111111111,7,0.152237865569442,0.185522798274132,0.141417799634665,0.158693224803518
21,B,HighSpeedRail,2.57,188.0,0.116015264023397,0.228125,0.0719019069027552,0.178645833333333,0.0,0,0.0,0.0,5.55666666666667,4,0.186837428130109,0.132674485269319,0.181565685194028,0.0906217601320979
22,B,HighSpeedRail,3.62,196.2,0.116015264023397,0.232291666666667,0.0719019069027552,0.156770833333333,0.0,0,0.0,0.0,5.55666666666667,4,0.186837428130109,0.10077188417633,0.181565685194028,0.092235198973379
23,B,HighSpeedRail,5.08,202.8,0.116015264023397,0.0833333333333333,0.0718769044928025,0.0697916666666667,0.0,0,0.0,0.0,5.55666666666667,6,0.186836246871574,0.163736012510537,0.181565685194028,0.127836995722211
24,B,HighSpeedRail,6.55,207.1,0.116015264023397,0.184895833333333,0.0718769044928025,0.1125,0.0,0,0.0,0.0,5.55666666666667,4,0.186812465046837,0.134344415774329,0.181565685194028,0.106580154417305
25,B,HighSpeedRail,7.25,208.5,0.116015264023397,0.0140625,0.0718769044928024,0.0140625,0.0,0,0.0,0.0,5.55666666666667,10,0.186812465046837,0.234051137362879,0.181565685194028,0.192802918576039
26,B,HighSpeedRail,8.0,206.7,0.0319660447287724,0.0104166666666667,0.0146320648179593,0.0046875,150900.0,0,26000.0,0.0,10.3511111111111,10,0.341994644673874,0.251417476044918,0.264692258827805,0.236783514241906
27,B,HighSpeedRail,8.75,201.7,0.0319660447287724,0.0067708333333333,0.0146320648179593,0.0130208333333333,150900.0,0,26000.0,0.0,10.3511111111111,11,0.341994644673874,0.254565108636183,0.264692258827805,0.19581970374536
28,B,HighSpeedRail,9.45,193.8,0.032036764539046,0.0234375,0.0146482414386338,0.03125,149900.0,0,26000.0,0.0,10.3511111111111,8,0.340898301242098,0.195192908263243,0.264666269612664,0.164916234107274
29,B,HighSpeedRail,10.05,183.9,0.032036764539046,0.0953125,0.0146482414386338,0.0854166666666667,149900.0,0,26000.0,0.0,10.3511111111111,5,0.340898301242098,0.131758182278234,0.264666269612664,0.121247563119727
30,B,HighSpeedRail,10.53,172.6,0.0325353934320595,0.0494791666666667,0.0146572985704654,0.0213541666666667,144900.0,0,27996.1013645224,0.0,10.1577777777778,7,0.333547471051641,0.158531232340286,0.264082689986401,0.17713240118916
31,B,HighSpeedRail,10.85,161.1,0.0325353934320596,0.155729166666667,0.0146572985704654,0.0432291666666667,144900.0,0,27996.1013645224,0.0,10.1577777777778,4,0.333547471051641,0.1140812153899,0.264082689986401,0.145688743685102
32,B,HighSpeedRail,10.99,150.4,0.0325353934320596,0.0421875,0.0146572985704654,0.03125,144900.0,0,27996.1013645224,0.0,10.1577777777778,7,0.333547471051641,0.192803205894587,0.264082689986401,0.162710261145583
33,B,HighSpeedRail,10.17,141.4,0.0327918413068121,0.0020833333333333,0.0147563412689489,0.003125,143900.0,0,27996.1013645224,0.0,10.1666666666667,13,0.333607616299916,0.290769709257386,0.26405670077126,0.254998583255576
34,B,HighSpeedRail,8.95,140.0,0.0327918413068121,0.0015625,0.0147563412689489,0.0010416666666666,143900.0,0,27996.1013645224,0.0,10.1666666666667,14,0.333607616299916,0.326070959024727,0.26405670077126,0.293952567353152
35,B,HighSpeedRail,7.79,140.0,0.0327918413068121,0.208854166666667,0.0147563412689489,0.0833333333333333,143900.0,0,27996.1013645224,0.0,10.1666666666667,4,0.333607616299916,0.117357139052169,0.26405670077126,0.125423244557417
36,B,HighSpeedRail,6.82,140.0,0.116024648489115,0.0739583333333333,0.0717270549631762,0.0557291666666667,0.0,0,0.0,0.0,5.56,6,0.186837428130109,0.175201840320346,0.181630545762428,0.141103748808342
37,B,HighSpeedRail,6.15,140.0,0.116024648489116,0.177083333333333,0.0717270549631762,0.157291666666667,0.0,0,0.0,0.0,5.56,4,0.186837428130109,0.124149826809388,0.181630545762428,0.0926625599348356
38,B,HighSpeedRail,5.8,140.0,0.116024648489115,0.06875,0.0717270549631761,0.0661458333333333,0.0,0,0.0,0.0,5.56,6,0.186837428130109,0.174721071636126,0.181630545762428,0.127693668642106
39,B,HighSpeedRail,5.78,147.3,0.116159474734435,0.18125,0.0705660110174467,0.116145833333333,0.0,0,0.0,0.0,5.59777777777779,4,0.187521092793653,0.125804607127513,0.182804530362053,0.106301116332358
40,B,HighSpeedRail,6.03,155.8,0.116024648489115,0.105729166666667,0.0717270549631762,0.0776041666666667,0.0,0,0.0,0.0,5.56,5,0.186837428130109,0.154456316377014,0.181630545762428,0.121371619910888
41,B,Urban,13.24,26.1,0.0534494934233632,0.154166666666667,0.0952207805344929,0.311979166666667,514439.5766545,0,115077.248026482,0.0,11.5211111111111,7,0.413893777827318,0.140299706795954,0.241870571626388,0.0860281284610832
42,B,Urban,12.69,34.1,0.0537883057767886,0.0013020833333333,0.0962131443880103,0.0125,514439.5766545,0,115077.248026482,0.0,11.5033333333333,15,0.413391931463622,0.319786116447791,0.241870571626388,0.213177036444256
43,B,Urban,12.29,40.0,0.126849490583341,0.0190104166666667,0.20750084576063,0.119270833333333,1996.10136452242,0,1996.10136452242,0.0,8.27888888888888,11,0.212053370064481,0.206802817659012,0.158978138730957,0.125943460886212
44,B,Urban,12.05,42.3,0.129576864204684,0.0052083333333333,0.219138446720344,0.0630208333333333,1000.0,0,0.0,0.0,7.88444444444445,13,0.207193549301783,0.265199288064994,0.155743181880872,0.150251444228699
45,B,Urban,12.01,41.7,0.129576864204684,0.05859375,0.219138446720344,0.225,1000.0,0,0.0,0.0,7.88444444444444,9,0.207193549301783,0.18505146482279,0.155743181880872,0.10129658056783
46,B,Urban,12.15,39.8,0.126037404260435,0.146614583333333,0.20766727498263,0.320572916666667,1996.10136452242,0,1996.10136452242,0.0,8.24555555555555,7,0.211848836113785,0.152033437407733,0.158890630365373,0.0873084317784968
47,B,Urban,12.47,39.1,0.125348442272147,0.0533854166666667,0.207659677207081,0.214322916666667,1000.0,0,0.0,0.0,8.26111111111111,9,0.212209351356745,0.189131582597812,0.158819248903182,0.109048325892844
48,B,Urban,12.95,41.5,0.0473301370137475,0.01015625,0.102564931967235,0.0955729166666667,317598.050682261,0,45163.9651438452,0.0,11.13,12,0.373946837865548,0.254473237689629,0.228922053050531,0.130679963128349
49,B,Urban,13.55,47.3,0.0473301370137475,0.10859375,0.102564931967235,0.252864583333333,317598.050682261,0,45163.9651438452,0.0,11.13,7,0.373946837865548,0.156622532982829,0.228922053050531,0.0942723757325394
50,B,Urban,13.48,55.4,0.0475124591175533,0.01796875,0.102564931967235,0.138802083333333,317598.050682261,0,45163.9651438452,0.0,11.13,11,0.373946837865548,0.234417613125993,0.228922053050531,0.124080144941871
51,B,HighSpeedRail,6.23,335.7,0.11526739249948,0.075,0.0712410620417112,0.0489583333333333,0.0,0,0.0,0.0,5.45444444444444,6,0.185793334807399,0.17200504697224,0.181549099754393,0.143467961951507
52,B,HighSpeedRail,6.22,350.0,0.11526739249948,0.122395833333333,0.0712410620417112,0.0604166666666667,0.0,0,0.0,0.0,5.45444444444444,5,0.185793334807399,0.15113524743953,0.181549099754393,0.139637854703352
53,B,HighSpeedRail,6.51,297.2,0.115275938764658,0.0729166666666667,0.0708824019015146,0.0473958333333333,0.0,0,0.0,0.0,5.54,6,0.186768291044413,0.151872961196949,0.181778411669823,0.141312426391653
54,B,HighSpeedRail,7.1,318.9,0.115275938764658,0.09375,0.0708824019015146,0.0588541666666667,0.0,0,0.0,0.0,5.54,5,0.186768291044413,0.14405812106508,0.181778411669823,0.140291690253846
55,B,HighSpeedRail,7.96,340.6,0.0320453551200762,0.04375,0.0146412316919288,0.04375,177966.666666667,0,29000.0,0.0,10.4766666666667,7,0.35724783775085,0.184573458187711,0.267076124285522,0.148518350210045
56,B,HighSpeedRail,9.01,280.4,0.0320453551200762,0.0963541666666667,0.0146412316919288,0.0645833333333333,177966.666666667,0,29000.0,0.0,10.4766666666667,5,0.35724783775085,0.145680231640622,0.267076124285522,0.127479423667827
57,B,HighSpeedRail,10.13,302.0,0.0320453551200762,0.0213541666666667,0.0146412316919288,0.0182291666666667,177966.666666667,0,29000.0,0.0,10.4766666666667,9,0.35724783775085,0.18874516398595,0.267076124285522,0.174194888812493
58,B,HighSpeedRail,10.95,323.7,0.0320453551200762,0.0333333333333333,0.0146412316919288,0.0317708333333333,177966.666666667,0,29000.0,0.0,10.4766666666667,8,0.35724783775085,0.207370631566505,0.267076124285522,0.160503121138568
59,B,HighSpeedRail,10.71,263.5,0.0320453551200762,0.0989583333333333,0.0146412316919288,0.053125,177966.666666667,0,29000.0,0.0,10.4766666666667,5,0.35724783775085,0.149902492835414,0.267076124285522,0.140586039469256
60,B,HighSpeedRail,10.31,285.2,0.0320453551200762,0.0317708333333333,0.0146412316919288,0.0171875,177966.666666667,0,29000.0,0.0,10.4766666666667,8,0.35724783775085,0.195015110022921,0.267076124285522,0.184135319324624
1,C,Pedestrian,17.48,2.2,0.001068673331553,0.0,0.0017890732755805,0.0,630102.734549237,900000,613733.220967597,898245.614035088,13.0166666666666,15,0.68706773840058,0.975042940981484,0.651315705136593,0.957253119491038
