snr_db_rounded,waveform,strategy,BER,throughput_bps,CQI,ACS
-2,ODDM,fixed_oddm,0.442708333333333,0.0,4.0,0.121780955012529
-2,ODDM,oracle,0.442708333333333,0.0,4.0,0.121780955012529
-2,OTFS,ai_adaptive,0.450694444444444,0.0,2.0,0.115765624458063
-2,OTFS,fixed_otfs,0.450694444444444,0.0,2.0,0.115765624458063
0,ODDM,fixed_oddm,0.19401041666666657,0.0,4.5,0.1408575467781982
0,ODDM,oracle,0.236979166666667,0.0,4.0,0.135556692187012
0,OTFS,ai_adaptive,0.21255208333333336,0.0,4.1,0.1534752807173469
0,OTFS,fixed_otfs,0.21255208333333336,0.0,4.1,0.1534752807173469
0,OTFS,oracle,0.20491898148148152,0.0,4.222222222222222,0.15613043554969178
2,ODDM,fixed_oddm,0.11419753086419757,0.0,5.888888888888889,0.157027424005698
2,OTFS,ai_adaptive,0.10669367283950622,0.0,6.0,0.18005430959013868
2,OTFS,fixed_otfs,0.10669367283950622,0.0,6.0,0.18005430959013868
2,OTFS,oracle,0.10669367283950622,0.0,6.0,0.18005430959013868
3,ODDM,fixed_oddm,0.18652343749999975,0.0,4.0,0.12437088512480618
3,ODDM,oracle,0.167708333333333,0.0,4.0,0.137885397653807
3,OTFS,ai_adaptive,0.22916666666666663,0.0,3.625,0.13900388852516363
3,OTFS,fixed_otfs,0.22916666666666663,0.0,3.625,0.13900388852516363
3,OTFS,oracle,0.22775297619047616,0.0,3.7142857142857144,0.14056145980136472
4,ODDM,fixed_oddm,0.14759259259259264,0.0,4.866666666666666,0.14414264795055326
4,ODDM,oracle,0.11927083333333349,0.0,5.0,0.1526904887541965
4,OTFS,ai_adaptive,0.1773726851851852,0.0,4.533333333333333,0.15962214055311658
4,OTFS,fixed_otfs,0.1773726851851852,0.0,4.533333333333333,0.15962214055311658
4,OTFS,oracle,0.17713675213675215,0.0,4.615384615384615,0.16156750464819014
5,ODDM,fixed_oddm,0.11816630747126436,30973.986690865102,6.0344827586206895,0.1865848091937721
5,ODDM,oracle,0.04288194444444443,299415.20467836264,9.333333333333334,0.4375388766487813
5,OTFS,ai_adaptive,0.13251017720306518,0.0,5.655172413793103,0.1797808519238806
5,OTFS,fixed_otfs,0.13251017720306518,0.0,5.655172413793103,0.1797808519238806
5,OTFS,oracle,0.14134949252136758,0.0,5.3076923076923075,0.17311338440082144
6,ODDM,fixed_oddm,0.18048611111111107,0.0,5.35,0.13989469154361914
6,ODDM,oracle,0.20392361111111104,0.0,5.4,0.1542814183397348
6,OTFS,ai_adaptive,0.1846961805555556,0.0,5.05,0.1556662163201493
6,OTFS,fixed_otfs,0.1846961805555556,0.0,5.05,0.1556662163201493
6,OTFS,oracle,0.17248842592592595,0.0,5.133333333333334,0.1580261105661726
7,ODDM,fixed_oddm,0.1166072733918129,0.0,6.052631578947368,0.15486506887009632
