Environment,Speed_kmh,DelayProfile,DelaySpread,NumPaths,DopplerSpread,Modulation,Detector,SNR_dB,BER,SER,PER,EVM_percent,SINR_est_dB,CQI,Throughput_bps,SpectralEfficiency_bps_per_Hz,Runtime_sec,AvgIterations,ScenarioID,Category,FocusMode,Timestamp
Pedestrian,2,EPA,0,7,0.0273354354150626,QPSK,MRC,0,0.226744791666667,0.385755208333333,1,91.0675054400911,0.812731192814131,4,0,0,0.4601534,2,1,LowMobility,0,2026-08-05 23:26:33
Pedestrian,2,EPA,0,7,0.0312319522439121,QPSK,MRC,5,0.0797135416666667,0.144401041666667,1,45.2556997012348,6.88653432125951,7,0,0,0.357211,2,1,LowMobility,0,2026-08-05 23:26:34
Pedestrian,2,EPA,0,7,0.0302476229298586,QPSK,MRC,10,0.0721875,0.12921875,0.8,37.9679994878084,8.41164569970812,8,360000,0.375,0.3205571,2,1,LowMobility,0,2026-08-05 23:26:34
Pedestrian,2,EPA,0,7,0.0313363270858584,QPSK,MRC,15,0.00118489583333333,0.00234375,0.3,2.84259162419908,30.9257105592407,15,1260000,1.3125,0.2919784,2,1,LowMobility,0,2026-08-05 23:26:34
Pedestrian,2,EPA,0,7,0.0316266331995314,QPSK,MRC,20,0.00829427083333333,0.0158854166666667,0.2,6.07365433795156,24.3309985631128,15,1440000,1.5,0.2943194,2,1,LowMobility,0,2026-08-05 23:26:35
Pedestrian,2,EPA,0,7,0.0316268027797492,QPSK,MRC,25,0,0,0,0,160,15,1800000,1.875,0.2880872,2,1,LowMobility,0,2026-08-05 23:26:35
Pedestrian,2,EPA,0,7,0.0305104748020825,QPSK,MRC,30,0,0,0,0,160,15,1800000,1.875,0.2944705,2,1,LowMobility,0,2026-08-05 23:26:35
Pedestrian,2,EPA,0,7,0.0315955360900087,QPSK,LMMSE,0,0.17109375,0.308098958333333,1,80.8331460975953,1.84821035493697,4,0,0,0.2881647,1,1,LowMobility,0,2026-08-05 23:26:35
Pedestrian,2,EPA,0,7,0.0314040206604692,QPSK,LMMSE,5,0.0661979166666667,0.122421875,0.9,40.4429559536464,7.86314219147148,7,180000,0.1875,0.169997,1,1,LowMobility,0,2026-08-05 23:26:36
Pedestrian,2,EPA,0,7,0.0303026514242457,QPSK,LMMSE,10,0.0220442708333333,0.0409375,0.7,15.6504011589063,16.1094905184318,11,540000,0.5625,0.1517629,1,1,LowMobility,0,2026-08-05 23:26:36
Pedestrian,2,EPA,0,7,0.0315879654292643,QPSK,LMMSE,15,0.000104166666666667,0.000208333333333333,0.2,0.832025096718379,41.5972714741393,15,1440000,1.5,0.1743231,1,1,LowMobility,0,2026-08-05 23:26:36
Pedestrian,2,EPA,0,7,0.0302277443999443,QPSK,LMMSE,20,0.000572916666666667,0.00114583333333333,0.2,1.85659120058356,34.6256742448098,15,1440000,1.5,0.1696447,1,1,LowMobility,0,2026-08-05 23:26:36
Pedestrian,2,EPA,0,7,0.0272807126588226,QPSK,LMMSE,25,0.0100911458333333,0.0194270833333333,0.1,6.35331278415704,23.9399952619724,15,1620000,1.6875,0.1636715,1,1,LowMobility,0,2026-08-05 23:26:36
Pedestrian,2,EPA,0,7,0.0302880111309084,QPSK,LMMSE,30,6.51041666666667e-05,0.000130208333333333,0.1,0.510310363079829,45.8433122436753,15,1620000,1.6875,0.1724249,1,1,LowMobility,0,2026-08-05 23:26:36
Pedestrian,2,EPA,0,7,0.0315010503063465,QPSK,MPA,0,0.276223958333333,0.47546875,1,104.741475545658,-0.402373754651598,3,0,0,0.2939397,10,1,LowMobility,0,2026-08-05 23:26:37
Pedestrian,2,EPA,0,7,0.0303124557191092,QPSK,MPA,5,0.1609765625,0.291770833333333,1,78.5356462468228,2.09866356459431,4,0,0,0.1880641,10,1,LowMobility,0,2026-08-05 23:26:37
Pedestrian,2,EPA,0,7,0.0310222007686279,QPSK,MPA,10,0.124947916666667,0.231015625,1,69.2625769714462,3.19002708401324,5,0,0,0.1954879,10,1,LowMobility,0,2026-08-05 23:26:37
Pedestrian,2,EPA,0,7,0.0309067966381556,QPSK,MPA,15,0.0764713541666667,0.146848958333333,1,54.996358168792,5.19332136632014,6,0,0,0.1913907,10,1,LowMobility,0,2026-08-05 23:26:37
Pedestrian,2,EPA,0,7,0.0296085030299109,QPSK,MPA,20,0.0649088541666667,0.126302083333333,1,50.9152411255764,5.8630439029935,6,0,0,0.1981263,10,1,LowMobility,0,2026-08-05 23:26:38
Pedestrian,2,EPA,0,7,0.0313882275592339,QPSK,MPA,25,0.0640364583333333,0.124765625,1,50.5558291641628,5.92457524740333,7,0,0,0.2098963,10,1,LowMobility,0,2026-08-05 23:26:38
Pedestrian,2,EPA,0,7,0.0271003924019525,QPSK,MPA,30,0.0585026041666667,0.113697916666667,1,48.3672600437922,6.30897028512968,7,0,0,0.2426107,10,1,LowMobility,0,2026-08-05 23:26:38
Pedestrian,2,EPA,0,7,0.0314388373680545,16QAM,MRC,0,0.3456640625,0.791953125,1,100.891100656527,-0.0770571986300129,3,0,0,0.3967154,2,1,LowMobility,0,2026-08-05 23:26:38
Pedestrian,2,EPA,0,7,0.0303744431984296,16QAM,MRC,5,0.18099609375,0.497369791666667,1,59.5437467273078,4.50327682616764,6,0,0,0.3479705,2,1,LowMobility,0,2026-08-05 23:26:39
Pedestrian,2,EPA,0,7,0.0309392013948634,16QAM,MRC,10,0.153294270833333,0.443177083333333,1,50.6837843942021,5.90261930428067,7,0,0,0.3790684,2,1,LowMobility,0,2026-08-05 23:26:39
Pedestrian,2,EPA,0,7,0.0300351884846546,16QAM,MRC,15,0.0199674479166667,0.076484375,0.8,13.7190466935391,17.2535213150339,12,720000,0.75,0.42257,2,1,LowMobility,0,2026-08-05 23:26:40
Pedestrian,2,EPA,0,7,0.0262510099628918,16QAM,MRC,20,0.00871744791666667,0.0331770833333333,0.5,6.70267627970947,23.4750351058771,15,1800000,1.875,0.3673808,2,1,LowMobility,0,2026-08-05 23:26:40
Pedestrian,2,EPA,0,7,0.027038680068525,16QAM,MRC,25,0,0,0,0,160,15,3600000,3.75,0.3321628,2,1,LowMobility,0,2026-08-05 23:26:40
