cond_id,profile,speed_kmph,snr_db,modulation,carrier_hz,doppler_hz,num_paths,delay_spread_taps,doppler_spread_hz,nTrials,label,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
16,EPA,50,0,16,4e+09,185.313,7,0,185.074,2,ODDM (LMMSE),0.384765625,0.8880208333,1,0,0,87.78518595,4,1.149850092,62.3074,0.0682565
17,EPA,50,5,4,4e+09,185.313,7,0,185.074,2,OTFS (MRC),0.13046875,0.2385416667,1,0,0,68.34803641,5.5,3.846646877,13.86915,0.01687745
17,EPA,50,5,4,4e+09,185.313,7,0,185.074,2,ODDM (LMMSE),0.13359375,0.2447916667,1,0,0,70.37996186,5.5,3.407563781,58.23925,0.0644404
18,EPA,50,5,16,4e+09,185.313,7,0,185.074,2,OTFS (MRC),0.2529947917,0.6833333333,1,0,0,72.60711883,5,3.005821777,9.3521,0.01194795
18,EPA,50,5,16,4e+09,185.313,7,0,185.074,2,ODDM (LMMSE),0.3389322917,0.8625,1,0,0,78.13565277,4.5,2.169511157,60.20795,0.0659089
19,EPA,50,10,4,4e+09,185.313,7,0,185.074,2,OTFS (MRC),0.0453125,0.08645833333,1,0,0,33.15796112,10.5,14.12962016,10.47885,0.01321305
19,EPA,50,10,4,4e+09,185.313,7,0,185.074,2,ODDM (LMMSE),0.03645833333,0.06979166667,1,0,0,30.66504778,10,13.74320326,58.2931,0.0634043
20,EPA,50,10,16,4e+09,185.313,7,0,185.074,2,OTFS (MRC),0.13671875,0.4411458333,1,0,0,47.65907516,7,6.721846629,9.3912,0.0123426
20,EPA,50,10,16,4e+09,185.313,7,0,185.074,2,ODDM (LMMSE),0.2923177083,0.8151041667,1,0,0,69.81403377,5,3.137495454,58.86135,0.0652745
21,EPA,50,15,4,4e+09,185.313,7,0,185.074,2,OTFS (MRC),0.004427083333,0.008854166667,0.5,450000,0.9375,9.409658159,13,87.25396158,10.26395,0.01265365
21,EPA,50,15,4,4e+09,185.313,7,0,185.074,2,ODDM (LMMSE),0.002604166667,0.005208333333,0.5,449122.807,0.9356725146,7.216878365,13.5,88.40620619,57.00575,0.0621159
22,EPA,50,15,16,4e+09,185.313,7,0,185.074,2,OTFS (MRC),0.048046875,0.1744791667,1,0,0,24.97118404,10,13.33708044,9.9641,0.0126308
22,EPA,50,15,16,4e+09,185.313,7,0,185.074,2,ODDM (LMMSE),0.1740885417,0.5369791667,1,0,0,50.84318051,6.5,6.294868037,57.99075,0.0638446
23,EPA,50,20,4,4e+09,185.313,7,0,185.074,2,OTFS (MRC),0,0,0,900000,1.875,0,15,160,11.2345,0.0140603
23,EPA,50,20,4,4e+09,185.313,7,0,185.074,2,ODDM (LMMSE),0,0,0,898245.614,1.871345029,0,15,160,58.54735,0.06398365
24,EPA,50,20,16,4e+09,185.313,7,0,185.074,2,OTFS (MRC),0.006901041667,0.02760416667,0.5,900000,1.875,7.480266833,13.5,88.25052914,9.0924,0.0118627
24,EPA,50,20,16,4e+09,185.313,7,0,185.074,2,ODDM (LMMSE),0.056640625,0.1994791667,1,0,0,22.4329268,11,20.55636833,58.89025,0.06461355
25,EPA,150,-5,4,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0.3513020833,0.5703125,1,0,0,118.2611532,3,-1.436179369,9.2097,0.0120315
25,EPA,150,-5,4,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0.33359375,0.5489583333,1,0,0,115.2250573,3,-1.208987959,59.59525,0.0652283
26,EPA,150,-5,16,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0.4358072917,0.8791666667,1,0,0,129.2197923,2.5,-2.186335858,10.3465,0.01361855
26,EPA,150,-5,16,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0.430859375,0.9161458333,1,0,0,96.97286696,3.5,0.2761618172,59.1393,0.06471375
27,EPA,150,0,4,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0.2528645833,0.4364583333,1,0,0,99.4089108,3.5,0.1548709923,10.10455,0.0131277
27,EPA,150,0,4,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0.2372395833,0.4125,1,0,0,96.37197314,3.5,0.4164968165,57.8267,0.06326315
28,EPA,150,0,16,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0.3598958333,0.809375,1,0,0,103.3135892,3.5,-0.1638799897,9.52765,0.0123903
28,EPA,150,0,16,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0.38984375,0.896875,1,0,0,88.40966398,4,1.089070651,60.35875,0.0659321
29,EPA,150,5,4,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0.1302083333,0.2364583333,1,0,0,67.92476415,5.5,3.958588872,8.9384,0.0118982
29,EPA,150,5,4,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0.1213541667,0.2182291667,1,0,0,66.14357223,5.5,4.094058406,59.20595,0.0652764
30,EPA,150,5,16,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0.2578125,0.6828125,1,0,0,74.31549563,5,2.793537462,9.3388,0.0123119
30,EPA,150,5,16,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0.3397135417,0.8697916667,1,0,0,77.65890371,4.5,2.224798758,59.1649,0.06464665
31,EPA,150,10,4,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0.03828125,0.075,1,0,0,29.85783084,10.5,15.99064809,9.5166,0.01212895
31,EPA,150,10,4,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0.03489583333,0.06927083333,1,0,0,29.44770733,10.5,14.70439274,60.9167,0.06697545
32,EPA,150,10,16,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0.1399739583,0.4536458333,1,0,0,47.96904896,7,6.682892326,10.26495,0.01303675
32,EPA,150,10,16,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0.2908854167,0.815625,1,0,0,69.36771817,5,3.198044449,58.9671,0.0645081
33,EPA,150,15,4,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0.004166666667,0.008333333333,0.5,450000,0.9375,9.128709292,13,87.38560627,10.2936,0.01371725
33,EPA,150,15,4,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0.002864583333,0.005729166667,0.5,449122.807,0.9356725146,7.569125885,13.5,88.19924276,60.93575,0.06651045
34,EPA,150,15,16,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0.04934895833,0.1802083333,1,0,0,24.94348906,10.5,13.56666829,11.2097,0.01435195
34,EPA,150,15,16,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0.1716145833,0.53125,1,0,0,50.24140208,6.5,6.472795105,62.6624,0.06821605
35,EPA,150,20,4,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0,0,0,900000,1.875,0,15,160,12.2942,0.01557465
35,EPA,150,20,4,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0,0,0,898245.614,1.871345029,0,15,160,64.3971,0.0713748
36,EPA,150,20,16,4e+09,555.94,7,0,555.223,2,OTFS (MRC),0.00625,0.02395833333,0.5,900000,1.875,7.118684968,13.5,88.4657023,9.64915,0.0129252
36,EPA,150,20,16,4e+09,555.94,7,0,555.223,2,ODDM (LMMSE),0.05950520833,0.2052083333,0.5,898245.614,1.871345029,21.96530587,11,83.57232749,62.0168,0.067689
37,EPA,250,-5,4,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0.3666666667,0.5963541667,1,0,0,120.8683145,3,-1.629117095,11.32745,0.0147855
37,EPA,250,-5,4,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0.3544270833,0.5776041667,1,0,0,118.8980186,3,-1.491080404,59.9179,0.06576795
38,EPA,250,-5,16,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0.4171875,0.8671875,1,0,0,125.7978229,2.5,-1.966004145,8.9415,0.0120957
38,EPA,250,-5,16,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0.4231770833,0.9192708333,1,0,0,95.37048647,3.5,0.4161151121,61.52665,0.06684685
39,EPA,250,0,4,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0.2705729167,0.459375,1,0,0,103.0308317,3.5,-0.1735843245,9.4514,0.0131229
39,EPA,250,0,4,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0.2578125,0.4447916667,1,0,0,100.5687279,3.5,0.03679333464,59.1191,0.0651651
40,EPA,250,0,16,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0.3528645833,0.8052083333,1,0,0,100.221717,3.5,0.08141031194,10.37485,0.01336695
40,EPA,250,0,16,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0.3834635417,0.9,1,0,0,86.76694812,4,1.246944765,59.4266,0.06499295
41,EPA,250,5,4,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0.1401041667,0.2494791667,1,0,0,70.21499023,5.5,3.709858255,9.7841,0.0127714
41,EPA,250,5,4,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0.1361979167,0.2463541667,1,0,0,69.58044914,5.5,3.731505707,60.86475,0.06636435
42,EPA,250,5,16,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0.2446614583,0.6677083333,1,0,0,71.72825329,5,3.068850616,10.8942,0.0140543
42,EPA,250,5,16,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0.3440104167,0.8739583333,1,0,0,78.52130769,4.5,2.12108267,63.1008,0.068938
43,EPA,250,10,4,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0.05104166667,0.09791666667,1,0,0,36.64342174,9,11.91239552,11.59035,0.0146689
43,EPA,250,10,4,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0.04296875,0.08020833333,1,0,0,33.00022217,10,13.37923103,61.0835,0.067224
44,EPA,250,10,16,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0.13125,0.4244791667,1,0,0,46.75265472,7,6.884609428,9.21005,0.0123211
44,EPA,250,10,16,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0.2962239583,0.8234375,1,0,0,70.44199218,5,3.063672232,61.8724,0.06747295
