NumPaths,label,waveform,detector,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
7,ODDM (LMMSE),ODDM,LMMSE,0.00375,0.0075,0.6,297963.144,0.62075656,75.164127,8.322519296,13.56,54.485468,0.083744296
8,ODDM (LMMSE),ODDM,LMMSE,0.003255208333,0.006510416667,0.44,400074.416,0.833488376,97.798198,6.274970488,13.76,50.90422,0.083429968
9,ODDM (LMMSE),ODDM,LMMSE,0.005434782609,0.01086956522,0.44,383033.4928,0.797986448,98.427475,6.564968088,13.96,48.134204,0.084137596
10,ODDM (LMMSE),ODDM,LMMSE,0.005681818182,0.01136363636,0.44,366025.5312,0.762553176,96.864035,8.196523336,13.4,43.607568,0.082685068
1,OFDM (LMMSE),OFDM,LMMSE,0.01145833333,0.021875,0.32,610807.0148,1.2725146,112.83466,9.943385568,13.32,1.894512,0.00553408
2,OFDM (LMMSE),OFDM,LMMSE,0.03125,0.05520833333,0.72,251508.7708,0.5239766,52.3724,25.89452153,10.48,2.09668,0.005464284
3,OFDM (LMMSE),OFDM,LMMSE,0.01239224138,0.02262931034,0.96,34698.3448,0.07228822,20.35999,20.13075105,10.84,2.345032,0.006645984
4,OFDM (LMMSE),OFDM,LMMSE,0.01785714286,0.03236607143,0.96,33469.2608,0.069727628,19.776793,23.34384846,10.4,2.265364,0.00681286
5,OFDM (LMMSE),OFDM,LMMSE,0.015625,0.02777777778,0.8,161212.828,0.33586006,41.493213,21.54214268,10.56,2.155312,0.007401008
6,OFDM (LMMSE),OFDM,LMMSE,0.01622596154,0.03004807692,0.84,124073.0096,0.25848544,36.055464,21.8636871,10.44,2.170156,0.00787734
7,OFDM (LMMSE),OFDM,LMMSE,0.016875,0.03125,0.96,29796.3144,0.062075656,19.083882,23.66552706,10.2,1.974272,0.008413136
8,OFDM (LMMSE),OFDM,LMMSE,0.01432291667,0.02604166667,0.88,85730.232,0.178604652,30.881815,20.65943182,10.64,1.910244,0.009365264
9,OFDM (LMMSE),OFDM,LMMSE,0.01630434783,0.0285326087,0.92,54719.0704,0.113998064,25.469796,21.55265356,10.6,1.117288,0.008901812
10,OFDM (LMMSE),OFDM,LMMSE,0.01704545455,0.03125,0.92,52289.3616,0.108936168,24.751465,22.91190702,10.28,1.057992,0.009351468
