DopplerScale,label,waveform,detector,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
1.05,ODDM (LMMSE),ODDM,LMMSE,0.002083333333,0.004166666667,0.52,431157.8928,0.8982456,14.12,87.704263,5.400427632,74.655644,0.086633776
1.2,ODDM (LMMSE),ODDM,LMMSE,0.002083333333,0.004166666667,0.52,431157.8928,0.8982456,14.12,87.897412,5.385565388,75.918788,0.088264256
1.35,ODDM (LMMSE),ODDM,LMMSE,0.002083333333,0.004166666667,0.44,503017.5416,1.0479532,14.04,98.598796,5.196137608,75.557372,0.087880896
1.5,ODDM (LMMSE),ODDM,LMMSE,0.002083333333,0.004166666667,0.52,431157.8928,0.8982456,14.16,88.084141,5.32655612,74.221596,0.086197672
0,OFDM (LMMSE),OFDM,LMMSE,0.0140625,0.02604166667,0.28,646736.8392,1.3473684,13.16,118.09663,11.0704473,1.865332,0.009339472
0.15,OFDM (LMMSE),OFDM,LMMSE,0.008854166667,0.01666666667,0.28,646736.8392,1.3473684,13.12,117.89945,9.55411356,2.332604,0.009586776
0.3,OFDM (LMMSE),OFDM,LMMSE,0.009895833333,0.01875,0.4,538947.366,1.122807,12.84,100.91376,11.26886257,2.482592,0.009593812
0.45,OFDM (LMMSE),OFDM,LMMSE,0.0078125,0.01458333333,0.6,359298.244,0.748538,12.48,73.093706,12.22242062,2.391412,0.009282536
0.6,OFDM (LMMSE),OFDM,LMMSE,0.0125,0.02291666667,0.68,287438.5952,0.5988304,11.48,60.127153,17.03108494,2.426604,0.009665848
0.75,OFDM (LMMSE),OFDM,LMMSE,0.01354166667,0.02395833333,0.76,215578.9464,0.4491228,11.08,48.002946,19.01203349,2.285316,0.009434288
0.9,OFDM (LMMSE),OFDM,LMMSE,0.01197916667,0.021875,0.8,179649.122,0.374269,11.12,42.805856,18.35329129,2.41582,0.009567256
1.05,OFDM (LMMSE),OFDM,LMMSE,0.01145833333,0.02083333333,0.8,179649.122,0.374269,11.08,42.583484,18.2404932,2.28586,0.009831844
1.2,OFDM (LMMSE),OFDM,LMMSE,0.01145833333,0.02083333333,0.8,179649.122,0.374269,11.08,42.697193,18.26635348,2.438016,0.010283296
1.35,OFDM (LMMSE),OFDM,LMMSE,0.01041666667,0.01979166667,0.84,143719.2976,0.2994152,11.12,37.407829,17.73797516,2.300644,0.009504792
1.5,OFDM (LMMSE),OFDM,LMMSE,0.01197916667,0.02291666667,0.84,143719.2976,0.2994152,10.92,37.089155,18.86296037,2.318804,0.009743528
