SNR_dB,label,waveform,detector,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
10,ODDM (LMMSE),ODDM,LMMSE,0.02447916667,0.04791666667,0.86666667,119766.0813,0.2495126667,9.7666667,30.840131,26.80542013,73.75058333,0.085724003
12.5,ODDM (LMMSE),ODDM,LMMSE,0.008333333333,0.01666666667,0.8,179649.122,0.374269,12.1,45.017625,14.33961535,74.43443,0.086462123
15,ODDM (LMMSE),ODDM,LMMSE,0.002083333333,0.004166666667,0.5,449122.805,0.9356725,14,90.090964,5.688500687,80.13711,0.093592703
17.5,ODDM (LMMSE),ODDM,LMMSE,0.0005208333333,0.001041666667,0.26666667,658713.4473,1.372319667,14.766667,123.61962,1.97604356,73.71068,0.085634137
20,ODDM (LMMSE),ODDM,LMMSE,0,0,0.13333333,778479.5287,1.621832333,15,142.04097,0.7346217867,74.29723333,0.086417337
22.5,ODDM (LMMSE),ODDM,LMMSE,0,0,0.033333333,868304.0897,1.808966833,15,155.56041,0.1521451533,74.16684667,0.086031567
25,ODDM (LMMSE),ODDM,LMMSE,0,0,0,898245.61,1.871345,15,160,0,74.92982667,0.086699113
0,OFDM (LMMSE),OFDM,LMMSE,0.2026041667,0.353125,1,0,0,4.0333333,1.2163304,88.74545843,2.02671,0.00916471
2.5,OFDM (LMMSE),OFDM,LMMSE,0.1463541667,0.2583333333,1,0,0,4.7666667,2.9019353,74.63112817,1.855213333,0.0078832633
5,OFDM (LMMSE),OFDM,LMMSE,0.09791666667,0.175,1,0,0,5.9333333,5.2333739,60.02647252,1.78418,0.0076087467
7.5,OFDM (LMMSE),OFDM,LMMSE,0.0609375,0.1104166667,0.96666667,29941.52033,0.06237816667,7.2666667,12.113468,46.31174033,2.398186667,0.0099266433
10,OFDM (LMMSE),OFDM,LMMSE,0.03645833333,0.06666666667,0.93333333,59883.04067,0.1247563333,8.6,19.603323,34.55772695,2.38434,0.00949124
12.5,OFDM (LMMSE),OFDM,LMMSE,0.02083333333,0.0375,0.83333333,149707.6017,0.3118908333,9.8333333,35.698646,25.09022697,2.533036667,0.0096116767
15,OFDM (LMMSE),OFDM,LMMSE,0.01197916667,0.021875,0.83333333,149707.6017,0.3118908333,11.066667,37.931688,18.68785308,3.286723333,0.012032143
17.5,OFDM (LMMSE),OFDM,LMMSE,0.007291666667,0.0125,0.76666667,209590.6423,0.4366471667,12.1,49.345051,13.69417445,2.372413333,0.0095367767
20,OFDM (LMMSE),OFDM,LMMSE,0.004166666667,0.008333333333,0.73333333,239532.1627,0.4990253333,13.033333,56.091339,10.09931618,2.20183,0.0096426867
22.5,OFDM (LMMSE),OFDM,LMMSE,0.002604166667,0.004166666667,0.66666667,299415.2033,0.6237816667,13.766667,67.07321,7.190183567,2.4195,0.00953743
25,OFDM (LMMSE),OFDM,LMMSE,0.0015625,0.002083333333,0.56666667,389239.7643,0.8109161667,14.233333,81.823133,5.03498519,2.427673333,0.0094942433
