Speed_kmph,label,waveform,detector,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
270,ODDM (LMMSE),ODDM,LMMSE,0.002083333333,0.004166666667,0.44,503017.5416,1.0479532,14.08,98.365081,5.083646044,74.419176,0.086542804
300,ODDM (LMMSE),ODDM,LMMSE,0.002083333333,0.004166666667,0.48,467087.7172,0.9730994,13.8,92.227789,5.861076328,73.970976,0.086049524
0,OFDM (LMMSE),OFDM,LMMSE,0.0140625,0.02604166667,0.28,646736.8392,1.3473684,13.16,118.09663,11.0704473,1.884412,0.009200576
30,OFDM (LMMSE),OFDM,LMMSE,0.009375,0.01770833333,0.36,574877.1904,1.1976608,12.92,106.59831,10.67600825,1.895144,0.0078506
60,OFDM (LMMSE),OFDM,LMMSE,0.009895833333,0.01770833333,0.64,323368.4196,0.6736842,12.08,66.966064,14.26968574,1.772904,0.007628024
90,OFDM (LMMSE),OFDM,LMMSE,0.01354166667,0.02395833333,0.76,215578.9464,0.4491228,11.08,48.002946,19.01203349,1.68912,0.007321828
120,OFDM (LMMSE),OFDM,LMMSE,0.0109375,0.01979166667,0.8,179649.122,0.374269,11.2,42.717613,17.90024452,2.417756,0.009268772
150,OFDM (LMMSE),OFDM,LMMSE,0.01145833333,0.02083333333,0.8,179649.122,0.374269,11.24,42.834995,17.9605874,2.45512,0.009781436
180,OFDM (LMMSE),OFDM,LMMSE,0.01197916667,0.02291666667,0.84,143719.2976,0.2994152,10.92,37.089155,18.86296037,2.406744,0.009481752
210,OFDM (LMMSE),OFDM,LMMSE,0.0125,0.02395833333,0.88,107789.4732,0.2245614,11,31.556742,19.40779518,2.476044,0.009713944
240,OFDM (LMMSE),OFDM,LMMSE,0.01302083333,0.02395833333,0.88,107789.4732,0.2245614,10.96,31.3427,19.70191293,2.513588,0.010003036
270,OFDM (LMMSE),OFDM,LMMSE,0.01197916667,0.021875,0.88,107789.4732,0.2245614,10.92,31.417282,19.23642926,2.542024,0.009716108
300,OFDM (LMMSE),OFDM,LMMSE,0.01302083333,0.025,0.88,107789.4732,0.2245614,10.68,30.977617,20.33100654,2.449596,0.009816632
